City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Fomento,CU,22.1,-79.72,80.6,78,75,10.29,broken clouds
282,Andijon,UZ,40.78,72.34,41.0,46,0,6.71,clear sky
283,Belmonte,BR,-15.86,-38.88,77.0,83,90,8.05,moderate rain
284,Okhotsk,RU,59.38,143.3,31.69,87,54,24.14,broken clouds
285,Kaka,TM,37.35,59.61,51.98,43,0,4.9,clear sky
286,Celestun,MX,20.87,-90.4,81.12,78,25,13.6,scattered clouds
287,Nouadhibou,MR,20.93,-17.03,77.0,57,0,23.04,clear sky
288,Severo-Kurilsk,RU,50.68,156.12,44.96,84,91,5.93,overcast clouds
289,Adrar,MR,20.5,-10.07,88.59,12,56,7.34,broken clouds
290,High Level,CA,58.52,-117.14,42.8,30,20,5.82,few clouds
291,Chernyshevskiy,RU,63.01,112.47,12.72,90,100,3.98,overcast clouds
292,Taonan,CN,45.33,122.78,37.92,69,30,3.6,scattered clouds
293,Henderson,US,36.04,-114.98,78.8,20,1,21.92,clear sky
294,Taoudenni,ML,22.68,-3.98,86.7,13,23,8.37,few clouds
295,Voh,NC,-20.97,164.7,85.17,47,1,2.68,clear sky
296,Turek,PL,52.02,18.5,52.0,92,0,5.01,clear sky
297,Vardo,NO,70.37,31.11,35.6,69,75,20.8,broken clouds
298,Awbari,LY,26.59,12.78,67.24,35,0,6.78,clear sky
299,Port Hardy,CA,50.7,-127.42,42.8,60,75,5.82,broken clouds
300,Banda Aceh,ID,5.56,95.32,80.1,72,100,10.98,overcast clouds
301,Mayo,US,38.89,-76.51,52.0,87,90,6.93,overcast clouds
302,Lompoc,US,34.64,-120.46,66.2,63,90,10.29,overcast clouds
303,Shwebo,MM,22.57,95.7,73.54,92,30,2.39,scattered clouds
304,Warangal,IN,18.0,79.58,71.1,72,2,4.92,clear sky
305,Namatanai,PG,-3.67,152.43,82.44,75,98,4.03,moderate rain
306,Alice Springs,AU,-23.7,133.88,62.6,29,6,13.87,clear sky
307,Tynda,RU,55.17,124.72,23.45,97,99,1.79,overcast clouds
308,La Ronge,CA,55.1,-105.28,26.6,49,75,6.93,broken clouds
309,Lata,PT,40.16,-8.33,55.0,88,69,7.0,light rain
310,Khani,GE,41.96,42.96,48.2,81,0,5.82,clear sky
311,Aljezur,PT,37.32,-8.8,60.28,81,68,9.06,broken clouds
312,Comrie,GB,56.38,-3.99,48.0,82,99,3.0,moderate rain
313,Paita,PE,-5.09,-81.11,64.51,84,54,14.74,broken clouds
314,Dicabisagan,PH,17.08,122.42,80.98,84,100,15.03,light rain
315,Krasnyy Yar,RU,46.53,48.35,53.6,71,0,8.95,clear sky
316,Hambantota,LK,6.12,81.12,78.24,80,97,10.42,overcast clouds
